Time,Position Axis 1,Load Axis 1,Command Axis 1,Aux 0,Aux 1,Aux 2,Cycles
2.3000000000,58.7870292664,0.4847595394,58.7957839966,-0.0590250753,-0.0004712933,0.0001355753,0.0000000000
2.3500000000,58.7654457090,0.4877036812,58.7457885742,-0.0605114698,-0.0001045330,0.0013153366,0.0000000000
2.4000000000,58.6830558777,0.5208576917,58.6957893372,-0.0600907989,-0.0005559485,0.0003481111,0.0000000000
2.4500000000,58.6658706663,0.4646008910,58.6457939148,-0.0612382963,0.0000712002,0.0019063988,0.0000000000
2.5000000000,58.5841445923,0.5016809702,58.5957984924,-0.0620752163,-0.0007222244,-0.0002340970,0.0000000000
2.5500000000,58.5480766296,0.4570964574,58.5457992554,-0.0629697591,0.0002991298,0.0013606102,0.0000000000
2.6000000000,58.4955177307,0.4964225292,58.4958038330,-0.0633463487,-0.0006029913,-0.0001472476,0.0000000000
2.6500000000,58.4432258608,0.4723517597,58.4458084106,-0.0645284653,0.0002801101,0.0018621881,0.0000000000
2.7000000000,58.4020462035,0.4729770721,58.3958129883,-0.0644729435,-0.0007346067,-0.0002887182,0.0000000000
2.7500000000,58.3409614565,0.4575091600,58.3458175659,-0.0656110197,0.0004007756,0.0027845472,0.0000000000
2.8000000000,58.3005790710,0.4586587250,58.2958183289,-0.0658005625,-0.0009218031,-0.0005006020,0.0000000000
2.8500000000,58.2354621889,0.5177005530,58.2458229065,-0.0668805316,0.0004520633,0.0025526947,0.0000000000
2.9000000000,58.2058525085,0.4799762070,58.1958274841,-0.0669430792,-0.0009618831,-0.0004584860,0.0000000000
2.9500000000,58.1354103089,0.4671533705,58.1458282471,-0.0684111789,0.0007286817,0.0023682139,0.0000000000
3.0000000000,58.1045494080,0.4892202616,58.0958328247,-0.0686151087,-0.0009814899,-0.0008234342,0.0000000000
3.0500000000,58.0493469238,0.4770157636,58.0458374023,-0.0693344623,0.0006816647,0.0025267727,0.0000000000
3.1000000000,57.9977722168,0.4741742910,57.9958419800,-0.0697549284,-0.0008337543,-0.0008970084,0.0000000000
