OUTPUT OF MATLAB Q4 SMALL STRAIN FEM IMPLEMENTATION 

          DISPLACEMENTS 
********************************* 
  Node      U1           U2 
  227  -3.88571e-03   9.06731e-02 
  228  -7.04025e-03   9.04844e-02 
  229  -1.01980e-02   9.03178e-02 
  230   2.31513e-03   9.43097e-02 
  231  -4.08885e-03   9.38529e-02 
  232  -1.05042e-02   9.34842e-02 
  233   2.20793e-03   9.75541e-02 
  234  -1.04411e-03   9.73081e-02 
  235  -4.29864e-03   9.70840e-02 
  236  -7.55606e-03   9.68820e-02 
  237  -1.08168e-02   9.67018e-02 
  238   2.09366e-03   1.00850e-01 
  239  -4.51516e-03   1.00366e-01 
  240  -1.11357e-02   9.99706e-02 
  241   1.97222e-03   1.04197e-01 
  242  -1.38186e-03   1.03938e-01 
  243  -4.73850e-03   1.03700e-01 
  244  -8.09810e-03   1.03484e-01 
  245  -1.14611e-02   1.03290e-01 
  246   1.84353e-03   1.07595e-01 
  247  -4.96874e-03   1.07084e-01 
  248  -1.17930e-02   1.06661e-01 
  249   1.70752e-03   1.11044e-01 
  250  -1.74790e-03   1.10771e-01 
  251  -5.20596e-03   1.10519e-01 
  252  -8.66704e-03   1.10290e-01 
  253  -1.21316e-02   1.10081e-01 
  254   1.56409e-03   1.14544e-01 
  255  -5.45024e-03   1.14005e-01 
  256  -1.24768e-02   1.13553e-01 
  257   1.41318e-03   1.18094e-01 
  258  -2.14289e-03   1.17807e-01 
  259  -5.70167e-03   1.17541e-01 
  260  -9.26354e-03   1.17297e-01 
  261  -1.28289e-02   1.17074e-01 
  262   1.25469e-03   1.21695e-01 
  263  -5.96032e-03   1.21127e-01 
  264  -1.31879e-02   1.20646e-01 
  265   1.08855e-03   1.25346e-01 
  266  -2.56747e-03   1.25044e-01 
  267  -6.22628e-03   1.24764e-01 
  268  -9.88824e-03   1.24505e-01 
  269  -1.35538e-02   1.24267e-01 
  270   9.14692e-04   1.29046e-01 
  271  -6.49961e-03   1.28450e-01 
  272  -1.39267e-02   1.27938e-01 
  273   7.33027e-04   1.32797e-01 
  274  -3.02227e-03   1.32481e-01 
  275  -6.78040e-03   1.32186e-01 
  276  -1.05418e-02   1.31912e-01 
  277  -1.43067e-02   1.31659e-01 
  278   5.43483e-04   1.36597e-01 
  279  -7.06872e-03   1.35971e-01 
  280  -1.46940e-02   1.35429e-01 
  281   3.45985e-04   1.40447e-01 
  282  -3.50788e-03   1.40116e-01 
  283  -7.36465e-03   1.39806e-01 
  284  -1.12247e-02   1.39517e-01 
  285  -1.50885e-02   1.39248e-01 
  286   1.40462e-04   1.44346e-01 
  287  -7.66826e-03   1.43689e-01 
  288  -1.54903e-02   1.43117e-01 
  289  -7.31612e-05   1.48294e-01 
  290  -4.02491e-03   1.47948e-01 
  291  -7.97961e-03   1.47622e-01 
  292  -1.19377e-02   1.47318e-01 
  293  -1.58995e-02   1.47034e-01 
  294  -2.94955e-04   1.52292e-01 
  295  -8.29880e-03   1.51604e-01 
  296  -1.63162e-02   1.50999e-01 
  297  -5.24990e-04   1.56338e-01 
  298  -4.57392e-03   1.55975e-01 
  299  -8.62587e-03   1.55634e-01 
  300  -1.26812e-02   1.55314e-01 
  301  -1.67404e-02   1.55014e-01 
  302  -7.63336e-04   1.60432e-01 
  303  -8.96092e-03   1.59713e-01 
  304  -1.71723e-02   1.59076e-01 
  305  -1.01006e-03   1.64575e-01 
  306  -5.15548e-03   1.64197e-01 
  307  -9.30399e-03   1.63840e-01 
  308  -1.34560e-02   1.63503e-01 
  309  -1.76118e-02   1.63187e-01 
  310  -1.26524e-03   1.68766e-01 
  311  -9.65517e-03   1.68015e-01 
  312  -1.80591e-02   1.67346e-01 
  313  -1.52892e-03   1.73006e-01 
  314  -5.77015e-03   1.72612e-01 
  315  -1.00145e-02   1.72238e-01 
  316  -1.42624e-02   1.71885e-01 
  317  -1.85142e-02   1.71552e-01 
  318  -1.80119e-03   1.77293e-01 
  319  -1.03821e-02   1.76509e-01 
  320  -1.89772e-02   1.75806e-01 
  321  -2.08210e-03   1.81628e-01 
  322  -6.41843e-03   1.81217e-01 
  323  -1.07580e-02   1.80827e-01 
  324  -1.51011e-02   1.80457e-01 
  325  -1.94482e-02   1.80108e-01 
  326  -2.37173e-03   1.86010e-01 
  327  -1.11422e-02   1.85193e-01 
  328  -1.99271e-02   1.84457e-01 
  329  -2.67012e-03   1.90440e-01 
  330  -7.10086e-03   1.90013e-01 
  331  -1.15349e-02   1.89606e-01 
  332  -1.59725e-02   1.89219e-01 
  333  -2.04142e-02   1.88853e-01 
  334  -2.97735e-03   1.94917e-01 
  335  -1.19360e-02   1.94066e-01 
  336  -2.09093e-02   1.93296e-01 
  337  -3.29347e-03   1.99441e-01 
  338  -7.81794e-03   1.98997e-01 
  339  -1.23457e-02   1.98573e-01 
  340  -1.68772e-02   1.98170e-01 
  341  -2.14127e-02   1.97786e-01 
  342  -3.61855e-03   2.04012e-01 
  343  -1.27640e-02   2.03127e-01 
  344  -2.19243e-02   2.02322e-01 
  345  -3.95264e-03   2.08630e-01 
  346  -8.57014e-03   2.08169e-01 
  347  -1.31910e-02   2.07728e-01 
  348  -1.78156e-02   2.07306e-01 
